# Time, Voltage, Current
1.146400000000000041e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.146799999999999997e+01,8.000000000000000167e-02,9.523809523809524072e-05
1.147199999999999953e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.147600000000000087e+01,8.000000000000000167e-02,0.000000000000000000e+00
1.148000000000000043e+01,0.000000000000000000e+00,1.904761904761904814e-04
1.148399999999999999e+01,-8.000000000000000167e-02,-0.000000000000000000e+00
1.148799999999999955e+01,8.000000000000000167e-02,1.904761904761904814e-04
1.149200000000000088e+01,0.000000000000000000e+00,9.523809523809524072e-05
1.149600000000000044e+01,0.000000000000000000e+00,9.523809523809524072e-05
1.150000000000000000e+01,0.000000000000000000e+00,9.523809523809524072e-05
1.150399999999999956e+01,8.000000000000000167e-02,0.000000000000000000e+00
1.150799999999999912e+01,8.000000000000000167e-02,0.000000000000000000e+00
1.151200000000000045e+01,0.000000000000000000e+00,1.904761904761904814e-04
1.151600000000000001e+01,8.000000000000000167e-02,9.523809523809524072e-05
1.151999999999999957e+01,8.000000000000000167e-02,0.000000000000000000e+00
1.152399999999999913e+01,0.000000000000000000e+00,9.523809523809524072e-05
1.152800000000000047e+01,0.000000000000000000e+00,9.523809523809524072e-05
1.153200000000000003e+01,8.000000000000000167e-02,0.000000000000000000e+00
1.153599999999999959e+01,8.000000000000000167e-02,9.523809523809524072e-05
1.153999999999999915e+01,8.000000000000000167e-02,1.904761904761904814e-04
1.154400000000000048e+01,8.000000000000000167e-02,1.904761904761904814e-04
1.154800000000000004e+01,8.000000000000000167e-02,0.000000000000000000e+00
1.155199999999999960e+01,0.000000000000000000e+00,-0.000000000000000000e+00
1.155599999999999916e+01,8.000000000000000167e-02,9.523809523809524072e-05
1.156000000000000050e+01,8.000000000000000167e-02,9.523809523809524072e-05
1.156400000000000006e+01,8.000000000000000167e-02,0.000000000000000000e+00
1.156799999999999962e+01,8.000000000000000167e-02,0.000000000000000000e+00
1.157199999999999918e+01,8.000000000000000167e-02,1.904761904761904814e-04
1.157600000000000051e+01,8.000000000000000167e-02,0.000000000000000000e+00
1.158000000000000007e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.158399999999999963e+01,8.000000000000000167e-02,-9.523809523809524072e-05
1.158799999999999919e+01,8.000000000000000167e-02,9.523809523809524072e-05
1.159200000000000053e+01,1.600000000000000033e-01,1.904761904761904814e-04
1.159600000000000009e+01,0.000000000000000000e+00,9.523809523809524072e-05
1.159999999999999964e+01,8.000000000000000167e-02,0.000000000000000000e+00
1.160399999999999920e+01,8.000000000000000167e-02,9.523809523809524072e-05
1.160800000000000054e+01,8.000000000000000167e-02,0.000000000000000000e+00
1.161200000000000010e+01,1.600000000000000033e-01,-1.904761904761904814e-04
1.161599999999999966e+01,8.000000000000000167e-02,0.000000000000000000e+00
