# Time, Target_Strain, Stress, Prediction_Strain
1.298260002800560109e+01,2.924722900419252092e-02,3.114281276633793644e-02,3.176403790712356567e-02
1.132626958991798283e+01,8.104915386746458505e-03,-8.350647134765595836e-02,1.179211586713790894e-02
1.220253438687737724e+00,1.760077320535132217e-01,7.696650462181088281e-01,1.721369326114654541e-01
4.148837691538306949e+00,-8.517658005367190199e-03,-2.037590861760472938e-01,-9.282179176807403564e-03
2.644537583516703538e+00,7.091925846737565098e-02,1.803109349731621680e-01,6.508447974920272827e-02
1.633526888577715397e+01,1.668846753977754060e-02,-3.593240437385174929e-02,1.438901573419570923e-02
7.493504952990598156e+00,5.106667943444814783e-02,1.248719792402717549e-01,5.036024004220962524e-02
5.685144184836967263e+00,5.955188750081663596e-03,-9.903436769670452555e-02,7.215507328510284424e-03
1.471094483296659305e+01,3.571038462917552891e-02,5.709057508232703165e-02,3.404742479324340820e-02
8.641734024804961223e+00,4.442736853313045131e-02,8.163178026404271925e-02,4.372590035200119019e-02
1.537507732746549216e+01,2.875384608863940095e-02,2.125334982866148095e-02,2.594604343175888062e-02
1.767953706741348086e+01,1.144591241152043137e-02,-5.208043344292852261e-02,1.026032119989395142e-02
1.283056969793958757e+01,2.708070864965578251e-02,2.035266024396690035e-02,2.998620271682739258e-02
1.797159533306661316e+01,1.289583940998029199e-02,-4.281411022914381054e-02,1.140504330396652222e-02
6.945395605121023941e+00,4.287829992974512283e-02,8.852792642023517289e-02,4.267547279596328735e-02
2.348478519703940837e+00,9.431974404922402466e-02,3.034056675437569739e-01,8.805917948484420776e-02
3.700748297659532060e+00,5.446022013352758151e-03,-1.433414491098532750e-01,2.898551523685455322e-03
1.813962885577115358e+01,1.406914073464965442e-02,-3.593119043002006990e-02,1.232063770294189453e-02
1.182636935987197369e+01,1.244921050737057833e-02,-5.701570934482195346e-02,1.631097495555877686e-02
4.124832902580515714e+00,-8.009052881469636009e-03,-2.017773613998110893e-01,-8.865520358085632324e-03
1.696339419683936711e+01,1.177726543162671557e-02,-5.604321270393233800e-02,1.039876788854598999e-02
1.683536865573114483e+01,1.245360079511925733e-02,-5.365502520834227601e-02,1.091629266738891602e-02
1.647929761952390493e+01,1.523426605828254177e-02,-4.230110893910950243e-02,1.315943896770477295e-02
1.055811634326865267e+01,9.400448050759346863e-03,-8.579480194929105241e-02,1.256418973207473755e-02
1.371874688937787568e+01,3.675510601107978559e-02,6.660462855485936584e-02,3.738307952880859375e-02
6.025212028405681153e+00,1.664259253867667043e-02,-4.234231442099672255e-02,1.752115786075592041e-02
1.393078919183836817e+01,3.767676592455293516e-02,7.026016813484771417e-02,3.783226758241653442e-02
